	index	score	token	token_str	sequence	sentence	model	dimension	pos_tag	rsv
3	3	0.01842656172811985	7378	decir	el chico es decir.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	VMN	26
4	4	0.01756598800420761	9642	blanco	el chico es blanco.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	25
5	5	0.01690991409122944	9340	sencillo	el chico es sencillo.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	24
6	6	0.01597028225660324	8510	azul	el chico es azul.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	23
7	7	0.01507983636111021	3003	alto	el chico es alto.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	22
8	8	0.012002800591289997	5560	bee	el chico es Bee.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	21
9	9	0.011148426681756973	16716	duro	el chico es duro.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	20
10	10	0.01072958204895258	13900	buen	el chico es buen.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	19
11	11	0.010045786388218403	5949	verde	el chico es verde.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	18
12	12	0.009995872154831886	16647	cierto	el chico es cierto.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	17
13	13	0.00906109157949686	13429	corto	el chico es corto.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	16
14	14	0.008560272864997387	1072	grande	el chico es grande.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	15
15	15	0.007851489819586277	3341	simple	el chico es simple.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	14
16	16	0.007315752562135458	15342	brillante	el chico es brillante.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	13
17	17	0.007026870734989643	4356	igual	el chico es igual.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	12
18	18	0.006816118489950895	11190	gris	el chico es gris.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	11
19	19	0.006714983377605677	1693	importante	el chico es importante.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	10
20	20	0.006540759466588497	11428	buena	el chico es buena.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	9
21	21	0.0063777947798371315	9163	humano	el chico es humano.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	8
22	22	0.005872214678674936	13715	necesario	el chico es necesario.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	7
23	23	0.005689659621566534	9075	diferente	el chico es diferente.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	6
24	24	0.005384516902267933	7039	unico	el chico es unico.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	5
25	25	0.00534607470035553	7117	cabeza	el chico es cabeza.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	4
26	26	0.005129166413098574	19108	dulce	el chico es dulce.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	3
27	27	0.005115097854286432	3932	menor	el chico es menor.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	2
28	28	0.005014065653085709	5355	conform	el chico es Conform.	el chico es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	1
0	0	0.04291402921080589	1626	italiano	el padre es italiano.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	29
1	1	0.028072914108633995	10405	periodista	el padre es periodista.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	28
2	2	0.026592044159770012	8428	futbolista	el padre es futbolista.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	27
3	3	0.023708069697022438	11976	sacerdote	el padre es sacerdote.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	26
4	4	0.020730169489979744	5292	escritor	el padre es escritor.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	25
5	5	0.020275812596082687	10635	religioso	el padre es religioso.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	24
6	6	0.019814351573586464	10393	nacido	el padre es nacido.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	23
7	7	0.009705422446131706	12866	mexicano	el padre es mexicano.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	22
8	8	0.009150235913693905	112	°	el padre es °.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	21
9	9	0.009097467176616192	10782	ciclista	el padre es ciclista.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	20
10	10	0.008738521486520767	3786	daily	el padre es Daily.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	19
11	11	0.008210662752389908	12583	griego	el padre es griego.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	18
12	12	0.008187700994312763	5638	compositor	el padre es compositor.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	17
13	13	0.007838346064090729	16995	turco	el padre es turco.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	16
14	14	0.007615700829774141	7801	derecho	el padre es derecho.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	15
15	15	0.007212983909994364	7687	latino	el padre es latino.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	14
16	16	0.0071089728735387325	5842	romano	el padre es romano.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	13
17	17	0.0069108339957892895	12439	pastor	el padre es pastor.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	12
18	18	0.00638978835195303	7246	doctor	el padre es doctor.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	11
19	19	0.006362646818161011	8694	vasco	el padre es Vasco.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	10
20	20	0.006129437126219273	7121	pintor	el padre es pintor.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	9
21	21	0.00585999945178628	2400	actor	el padre es actor.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	8
22	22	0.005819827783852816	21724	católico	el padre es católico.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	7
23	23	0.005731665529310703	3699	americano	el padre es americano.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	6
24	24	0.005663590505719185	3586	estadounidense	el padre es estadounidense.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	5
25	25	0.005608114879578352	11659	freddie	el padre es Freddie.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	4
26	26	0.005394794046878815	10259	productor	el padre es productor.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	3
27	27	0.00517131807282567	10218	##mista	el padre esmista.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	2
28	28	0.005139654502272606	10119	alcohol	el padre es alcohol.	el padre es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	1
0	0	0.01833266019821167	3760	pablo	el hermano es Pablo.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	29
1	1	0.014544184319674969	1812	pedro	el hermano es Pedro.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	28
2	2	0.01254433486610651	9425	gustavo	el hermano es Gustavo.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	27
3	3	0.009884721599519253	5871	javier	el hermano es Javier.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	26
4	4	0.009369641542434692	2243	tony	el hermano es Tony.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	25
5	5	0.008781514130532742	12456	rodolfo	el hermano es Rodolfo.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	24
6	6	0.00830913707613945	1324	antonio	el hermano es Antonio.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	23
7	7	0.007727253250777721	4773	alfonso	el hermano es Alfonso.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	22
8	8	0.007015743758529425	5011	felipe	el hermano es Felipe.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	21
9	9	0.006993625778704882	6053	alejandro	el hermano es Alejandro.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	20
10	10	0.006887577008455992	3327	jorge	el hermano es Jorge.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	19
11	11	0.006796721834689379	1278	daniel	el hermano es Daniel.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	18
12	12	0.006769558880478144	1218	juan	el hermano es Juan.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	17
13	13	0.006714379880577326	2374	mario	el hermano es Mario.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	16
14	14	0.0066932188346982	4942	ricardo	el hermano es Ricardo.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	15
15	15	0.006403845734894276	7455	guillermo	el hermano es Guillermo.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	14
16	16	0.006371140014380217	704	david	el hermano es David.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	13
17	17	0.006123820785433054	7084	claudio	el hermano es Claudio.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	12
18	18	0.006094654556363821	112	°	el hermano es °.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	11
19	19	0.005764137487858534	9243	arturo	el hermano es Arturo.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	10
20	20	0.00551068177446723	10393	nacido	el hermano es nacido.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	9
21	21	0.0054983398877084255	11982	esteban	el hermano es Esteban.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	8
22	22	0.005054533015936613	9119	tito	el hermano es Tito.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	7
23	23	0.005041664000600576	11659	freddie	el hermano es Freddie.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	6
24	24	0.004606780130416155	6579	marcos	el hermano es Marcos.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	5
25	25	0.004481293261051178	5620	sergio	el hermano es Sergio.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	4
26	26	0.004463307559490204	1943	manuel	el hermano es Manuel.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	3
27	27	0.004390857648104429	7513	bernardo	el hermano es Bernardo.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	2
28	28	0.0042932541109621525	2322	miguel	el hermano es Miguel.	el hermano es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	1
0	0	0.9998713731765747	26359		mi abuelo es.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male		29
1	1	3.22905225402792e-06	8510	azul	mi abuelo es azul.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	28
2	2	2.2771953354094876e-06	4356	igual	mi abuelo es igual.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	27
3	3	2.1137880139576737e-06	119	¿	mi abuelo es ¿.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	26
4	4	1.8440268831909634e-06	8711	negro	mi abuelo es negro.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	25
5	5	1.3956664588476997e-06	2206	yo	mi abuelo es yo.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	PP	24
6	6	1.2300620255700778e-06	107	¡	mi abuelo es ¡.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	Faa	23
7	7	1.1946856375288917e-06	13900	buen	mi abuelo es buen.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	22
8	8	1.1736964324882138e-06	10393	nacido	mi abuelo es nacido.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	21
9	9	1.1196701734661474e-06	15220	rojo	mi abuelo es rojo.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	20
10	10	1.1076192549808184e-06	7378	decir	mi abuelo es decir.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	VMN	19
11	11	9.573549277774873e-07	16647	cierto	mi abuelo es cierto.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	18
12	12	9.506415494797693e-07	7746	fuerte	mi abuelo es fuerte.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	17
13	13	9.295227414440888e-07	11428	buena	mi abuelo es buena.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	16
14	14	8.607049721831572e-07	1757	mayor	mi abuelo es mayor.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	15
15	15	8.554766282031778e-07	5949	verde	mi abuelo es verde.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	14
16	16	7.520839062635787e-07	7749	joven	mi abuelo es joven.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	13
17	17	7.008916327322368e-07	5761	siempre	mi abuelo es siempre.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	RG	12
18	18	6.893188810863649e-07	5588	cristo	mi abuelo es Cristo.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	11
19	19	6.45897273443552e-07	9122	noble	mi abuelo es noble.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	10
20	20	6.245081181077694e-07	7404	dios	mi abuelo es Dios.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	9
21	21	6.021745093676145e-07	549	este	mi abuelo es este.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	DD	8
22	22	6.012047606418491e-07	4570	tierra	mi abuelo es tierra.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	7
23	23	5.667689606525528e-07	14628	muerto	mi abuelo es muerto.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	6
24	24	5.493397452482895e-07	13715	necesario	mi abuelo es necesario.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	5
25	25	5.146959551893815e-07	117	»	mi abuelo es ».	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	4
26	26	5.068420136922214e-07	9642	blanco	mi abuelo es blanco.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	3
27	27	5.060489343122754e-07	4460	rey	mi abuelo es rey.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	2
28	28	4.586347870372265e-07	9340	sencillo	mi abuelo es sencillo.	mi abuelo es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	1
0	0	0.03014843910932541	112	°	el profesor es °.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	29
1	1	0.025764379650354385	3800	profesor	el profesor es profesor.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	28
2	2	0.013169088400900364	7232	titular	el profesor es titular.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	27
3	3	0.009073789231479168	119	¿	el profesor es ¿.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	Fia	26
4	4	0.007893179543316364	6131	actualmente	el profesor es actualmente.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	RG	25
5	5	0.006954899989068508	9425	gustavo	el profesor es Gustavo.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	24
6	6	0.006385998334735632	6769	##cano	el profesor escano.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	23
7	7	0.005937463138252497	3197	cargo	el profesor es cargo.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	22
8	8	0.005640699528157711	7246	doctor	el profesor es doctor.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	21
9	9	0.0054259528405964375	10393	nacido	el profesor es nacido.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	20
10	10	0.005364684853702784	8694	vasco	el profesor es Vasco.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	19
11	11	0.0052352421917021275	3481	vice	el profesor es vice.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	18
12	12	0.005222947336733341	11367	independiente	el profesor es independiente.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	17
13	13	0.005206387024372816	10405	periodista	el profesor es periodista.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	16
14	14	0.004617034923285246	16050	profesor	el profesor es Profesor.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	15
15	15	0.004438101314008236	7378	decir	el profesor es decir.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	VMN	14
16	16	0.004229520447552204	15891	rector	el profesor es rector.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	13
17	17	0.0041174148209393024	1626	italiano	el profesor es italiano.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	12
18	18	0.004111261572688818	1757	mayor	el profesor es mayor.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	11
19	19	0.003943782765418291	1625	director	el profesor es director.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	10
20	20	0.0038903942331671715	1812	pedro	el profesor es Pedro.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	9
21	21	0.003848418826237321	117	»	el profesor es ».	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	8
22	22	0.0038327674847096205	1174	dr	el profesor es Dr.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	7
23	23	0.003704848000779748	1843	mr	el profesor es Mr.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	6
24	24	0.0036281028296798468	16743	docente	el profesor es docente.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	5
25	25	0.003612260101363063	12456	rodolfo	el profesor es Rodolfo.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	4
26	26	0.003379878355190158	4942	ricardo	el profesor es Ricardo.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	3
27	27	0.003356649074703455	4773	alfonso	el profesor es Alfonso.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	2
28	28	0.003300446318462491	8321	blanco	el profesor es Blanco.	el profesor es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	1
0	0	0.019017353653907776	112	°	el maestro es °.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	29
1	1	0.010417544282972813	1812	pedro	el maestro es Pedro.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	28
2	2	0.00931429211050272	7983	maestro	el maestro es maestro.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	27
3	3	0.008709988556802273	10153	tenor	el maestro es tenor.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	26
4	4	0.006707835476845503	1324	antonio	el maestro es Antonio.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	25
5	5	0.006278375629335642	119	¿	el maestro es ¿.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	Fia	24
6	6	0.006089373026043177	7378	decir	el maestro es decir.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	VMN	23
7	7	0.005217251367866993	4338	conocido	el maestro es conocido.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	22
8	8	0.004867327865213156	117	»	el maestro es ».	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	21
9	9	0.00485276710242033	1757	mayor	el maestro es mayor.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	20
10	10	0.0042107305489480495	3197	cargo	el maestro es cargo.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	19
11	11	0.0041051520965993404	8321	blanco	el maestro es Blanco.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	18
12	12	0.0038812807761132717	3760	pablo	el maestro es Pablo.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	17
13	13	0.003857744624838233	4773	alfonso	el maestro es Alfonso.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	16
14	14	0.003841918660327792	8694	vasco	el maestro es Vasco.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	15
15	15	0.003813802497461438	10635	religioso	el maestro es religioso.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	14
16	16	0.0037772473879158497	5553	considerado	el maestro es considerado.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	13
17	17	0.0037701684050261974	7232	titular	el maestro es titular.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	12
18	18	0.0036515153478831053	11976	sacerdote	el maestro es sacerdote.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	11
19	19	0.0036136768758296967	1626	italiano	el maestro es italiano.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	10
20	20	0.003573759226128459	10393	nacido	el maestro es nacido.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	9
21	21	0.0035442914813756943	1943	manuel	el maestro es Manuel.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	8
22	22	0.0035125825088471174	1218	juan	el maestro es Juan.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	AQ	7
23	23	0.0034860651940107346	9425	gustavo	el maestro es Gustavo.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	6
24	24	0.0033871945925056934	3800	profesor	el maestro es profesor.	el maestro es [MASK].	Recognai/distilbert-base-es-multilingual-cased	male	NC	5
